family,best_strategy,strategies_in_family,evaluated_runs_best_strategy,best_passing_pairs,best_total_trades,best_median_profit_factor,best_median_sharpe,best_worst_drawdown,strategies_blocked_by_passing_pairs,strategies_blocked_by_total_trades,strategies_blocked_by_median_profit_factor,strategies_blocked_by_median_sharpe,strategies_blocked_by_worst_drawdown,strategies_blocked_by_no_evaluated_runs,top_blockers,diagnosis,next_action
composite,Composite Quant Score,3,14,0,0,inf,0.0,0.0,3,3,1,3,2,0,median_sharpe:3;passing_pairs:3;total_trades:3;two_leg_execution_input_pairs<2:3;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:3,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
copula,Copula Risk Filter,7,14,0,0,inf,0.0,0.0,7,7,6,7,6,0,median_sharpe:7;passing_pairs:7;total_trades:7;two_leg_execution_input_pairs<2:7;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:7,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
ecm,Leader/Follower Prediction,3,14,0,0,inf,0.0,0.0,3,3,0,3,0,0,median_sharpe:3;passing_pairs:3;total_trades:3;two_leg_execution_input_pairs<2:3;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:3,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
hybrid,ZScore + ECM,4,14,0,0,inf,0.0,0.0,4,4,1,4,1,0,median_sharpe:4;passing_pairs:4;total_trades:4;two_leg_execution_input_pairs<2:4;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:4,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
ml,Trade Outcome Predictor,5,14,0,0,inf,0.0,0.0,5,5,3,5,3,0,median_sharpe:5;passing_pairs:5;total_trades:5;two_leg_execution_input_pairs<2:5;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:5,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
portfolio,Risk Adjusted Ranking,5,14,0,0,inf,0.0,0.0,5,5,2,5,2,0,median_sharpe:5;passing_pairs:5;total_trades:5;two_leg_execution_input_pairs<2:5;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:5,too_few_trades_and_no_passing_pairs,collect longer histories and test threshold families without relaxing production gates
mean_reversion,Hurst + Half-Life,4,14,0,16,inf,-0.702622627112476,0.2341587140237477,4,4,2,4,4,0,median_sharpe:4;passing_pairs:4;total_trades:4;two_leg_execution_input_pairs<2:4;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y]:4,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs
regime,KMeans Regime Model,4,14,0,44,0.3747713940836872,-0.800399333204608,0.2519859438799552,4,4,4,4,4,0,median_profit_factor:4;median_sharpe:4;passing_pairs:4;total_trades:4;two_leg_execution_input_pairs<2:4,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs
adaptive,Dynamic Threshold Model,1,14,0,60,0.3145964740204473,-1.3481902908684835,0.268752281069834,1,1,1,1,1,0,median_profit_factor:1;median_sharpe:1;passing_pairs:1;total_trades:1;two_leg_execution_input_pairs<2:1,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs
zscore,Classic ZScore Mean Reversion,1,14,0,60,0.274758196980946,-1.653936228932204,0.2575112374854235,1,1,1,1,1,0,median_profit_factor:1;median_sharpe:1;passing_pairs:1;total_trades:1;two_leg_execution_input_pairs<2:1,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs
