combo_name,combo_size,families,strategies,strategy_ids,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
full_stack_376,10,adaptive;composite;copula;ecm;hybrid;mean_reversion;ml;portfolio;regime;zscore,Dynamic Threshold Model;Composite Quant Score;Copula Risk Filter;Pure ECM;ZScore + ECM;Hurst Filter;Feature Importance Model;Pair Ranking Strategy;KMeans Regime Model;Classic ZScore Mean Reversion,20;18;29;8;2;12;31;25;23;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,140,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,180,0.0,0.0,0.26875228106983406
combo_4way_264,4,composite;copula;mean_reversion;zscore,Composite Quant Score;Copula Risk Filter;Hurst Filter;Classic ZScore Mean Reversion,18;29;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_279,4,composite;ecm;mean_reversion;zscore,Composite Quant Score;Pure ECM;Hurst Filter;Classic ZScore Mean Reversion,18;8;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_289,4,composite;hybrid;mean_reversion;zscore,Composite Quant Score;ZScore + ECM;Hurst Filter;Classic ZScore Mean Reversion,18;2;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_298,4,composite;mean_reversion;ml;zscore,Composite Quant Score;Hurst Filter;Feature Importance Model;Classic ZScore Mean Reversion,18;12;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_300,4,composite;mean_reversion;portfolio;zscore,Composite Quant Score;Hurst Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,18;12;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_314,4,copula;ecm;mean_reversion;zscore,Copula Risk Filter;Pure ECM;Hurst Filter;Classic ZScore Mean Reversion,29;8;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_324,4,copula;hybrid;mean_reversion;zscore,Copula Risk Filter;ZScore + ECM;Hurst Filter;Classic ZScore Mean Reversion,29;2;12;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_333,4,copula;mean_reversion;ml;zscore,Copula Risk Filter;Hurst Filter;Feature Importance Model;Classic ZScore Mean Reversion,29;12;31;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
combo_4way_335,4,copula;mean_reversion;portfolio;zscore,Copula Risk Filter;Hurst Filter;Pair Ranking Strategy;Classic ZScore Mean Reversion,29;12;25;1,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,56,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,76,0.0,0.0,0.2575112374854235
