family,best_strategy_id,best_strategy_name,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,passing_pairs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
composite,18,Composite Quant Score,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
copula,29,Copula Risk Filter,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
ecm,8,Pure ECM,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
hybrid,2,ZScore + ECM,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
ml,31,Feature Importance Model,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
portfolio,25,Pair Ranking Strategy,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,0,0,0.0,0.0,0.0
mean_reversion,12,Hurst Filter,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,0,16,0.0,-0.702622627112476,0.23415871402374777
regime,23,KMeans Regime Model,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,0,44,0.3747713940836872,-0.800399333204608,0.25198594387995527
adaptive,20,Dynamic Threshold Model,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,0,60,0.3145964740204473,-1.3481902908684837,0.26875228106983406
zscore,1,Classic ZScore Mean Reversion,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,0,60,0.27475819698094606,-1.653936228932204,0.2575112374854235
