strategy_rank,strategy,family,pairs_tested,passing_pairs,total_trades,median_profit_factor,median_sharpe,worst_drawdown,production_eligible,preferred_eligible,acceptance_reason,preferred_reason
1,ZScore + ECM,hybrid,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
2,Copula + ECM Strategy,hybrid,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
3,Trade Outcome Predictor,ml,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
4,Feature Importance Model,ml,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
5,Copula Risk Filter,copula,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
6,Risk Adjusted Ranking,portfolio,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
7,Portfolio Rotation,portfolio,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
8,Pair Ranking Strategy,portfolio,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
9,Leader/Follower Prediction,ecm,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
10,ECM Leadership,ecm,4,0,0,inf,0.0,0.0,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250
