strategy_id,strategy_name,family,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
2,ZScore + ECM,hybrid,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
4,ECM + Copula + ZScore,hybrid,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
8,Pure ECM,ecm,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
9,ECM Leadership,ecm,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
10,Leader/Follower Prediction,ecm,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
12,Hurst Filter,mean_reversion,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,16,inf,-0.702622627112476,0.23415871402374777
13,Hurst + Half-Life,mean_reversion,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,16,inf,-0.702622627112476,0.23415871402374777
18,Composite Quant Score,composite,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
19,Weighted Voting Model,composite,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,64,inf,-0.8234197309687287,0.31091948131447833
25,Pair Ranking Strategy,portfolio,False,False,passing_pairs<2;two_leg_execution_input_pairs<2;two_leg_missing_inputs:BTC-USD-SOL-USD[funding_x+funding_y],not_production_eligible;median_sharpe<1.5;total_trades<250,14,0,2,0,2,1,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
