path,pair,has_history,history_rows,history_columns,effective_columns,experiment_ready,missing_for_baseline_backtest,ecm_history_ready,missing_for_ecm_backtest,two_leg_execution_ready,missing_for_two_leg_backtest,hedge_ratio_available,beta_available,funding_columns_available,execution_assumption_notes
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_1_5mins_dydx_long_history_derived_history.json,ETH-USD-SOL-USD,True,24,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_BNB_USD_LINK_USD_5mins_dydx_candles_derived_history.json,BNB-USD-LINK-USD,True,91,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_aave_uni_5mins_dydx_candles_derived_history.json,AAVE-USD-UNI-USD,True,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_arb_op_5mins_dydx_candles_derived_history.json,ARB-USD-OP-USD,True,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_bnb_link_5mins_dydx_long_history_derived_history.json,BNB-USD-LINK-USD,True,12000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_avax_5mins_dydx_candles_derived_history.json,BTC-USD-AVAX-USD,True,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_5mins_dydx_candles_derived_history.json,BTC-USD-ETH-USD,True,100,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_5mins_dydx_long_history_derived_history.json,BTC-USD-ETH-USD,True,12000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;funding_x_bps;funding_y_bps;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,True,
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_binance_spot_1d_binance_spot_1d_derived_history.json,BTCUSDT-ETHUSDT,True,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_eth_binance_spot_5m_binance_spot_5m_derived_history.json,BTCUSDT-ETHUSDT,True,1000,beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_strength;ecm_x;ecm_y;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;liquidity_score;ml_confidence;ou_optimal;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,asset_x;asset_y;beta;bid_ask_spread_bps;cointegration_pvalue;composite_score;conditional_probabilities;conditional_probability_distortion;copula_calibration_score;crisis_probability;cvar;drawdown;ecm_deviation_override_available;ecm_strength;ecm_strength_available;ecm_x;ecm_x_available;ecm_y;ecm_y_available;exchange;funding_bps_per_day;half_life;hedge_ratio;hedge_ratio_stability;hurst;interval;liquidity_score;ml_confidence;ou_optimal;pair;pair_id;period;price_x;price_y;profile_match;realized_volatility_percentile;regime_strategy_match;sharpe;slippage_bps;sortino;spread;strategy_mode;tail_dependence;timestamp;u1_given_u2;u2_given_u1;var;volume_x_usd;volume_y_usd;win_rate;zscore,True,,True,,True,,True,True,False,funding_cost_model_default
